"","obs","porcentaje","condicion"
"1","pre_aaf",0.94047619047619,"pre"
"2","pre_afb",0.99702380952381,"pre"
"3","pre_agm",0.886904761904762,"pre"
"4","pre_cic",0.991071428571429,"pre"
"5","pre_jjr",0.994047619047619,"pre"
"6","pre_lrc",0.93452380952381,"pre"
"7","pre_mab",0.767857142857143,"pre"
"8","pre_mdn",0.970238095238095,"pre"
"9","pre_msz",0.988095238095238,"pre"
"10","pre_nga",0.931547619047619,"pre"
"11","pre_pab",0.94047619047619,"pre"
"12","pre_at",0.982142857142857,"pre"
"13","pre_lfa",0.994047619047619,"pre"
"14","pre_lms",0.970238095238095,"pre"
"15","pre_mcm",0.988095238095238,"pre"
"16","pos_aaf",1,"pos"
"17","pos_afb",0.99702380952381,"pos"
"18","pos_agm",0.994047619047619,"pos"
"19","pos_cic",0.991071428571429,"pos"
"20","pos_jjr",0.994047619047619,"pos"
"21","pos_lrc",0.985119047619048,"pos"
"22","pos_mab",0.988095238095238,"pos"
"23","pos_mdn",0.976190476190476,"pos"
"24","pos_msz",0.994047619047619,"pos"
"25","pos_nga",0.955357142857143,"pos"
"26","pos_pab",0.976190476190476,"pos"
"27","pos_at",0.988095238095238,"pos"
"28","pos_lfa",0.991071428571429,"pos"
"29","pos_lms",0.910714285714286,"pos"
"30","pos_mcm",0.99702380952381,"pos"
